Notes,Month,Month_Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Feb., 2010",2010-02,"Other and unspecified firearm discharge, undetermined intent",Y24,14,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2010",2010-02,Legal intervention involving firearm discharge,Y35.0,32,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,Handgun discharge,W32,10,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,"Rifle, shotgun and larger firearm discharge",W33,3,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,Discharge from other and unspecified firearms,W34,28,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,Intentional self-harm by handgun discharge,X72,382,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,263,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,Intentional self-harm by other and unspecified firearm discharge,X74,1016,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,Assault by handgun discharge,X93,77,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,"Assault by rifle, shotgun and larger firearm discharge",X94,36,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,Assault by other and unspecified firearm discharge,X95,775,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,"Handgun discharge, undetermined intent",Y22,4,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,"Other and unspecified firearm discharge, undetermined intent",Y24,17,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2010",2010-03,Legal intervention involving firearm discharge,Y35.0,38,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,Handgun discharge,W32,8,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,"Rifle, shotgun and larger firearm discharge",W33,10,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,Discharge from other and unspecified firearms,W34,35,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,Intentional self-harm by handgun discharge,X72,381,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,266,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,Intentional self-harm by other and unspecified firearm discharge,X74,971,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,Assault by handgun discharge,X93,79,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,"Assault by rifle, shotgun and larger firearm discharge",X94,54,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,Assault by other and unspecified firearm discharge,X95,829,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,"Other and unspecified firearm discharge, undetermined intent",Y24,8,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2010",2010-04,Legal intervention involving firearm discharge,Y35.0,26,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,Handgun discharge,W32,5,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,"Rifle, shotgun and larger firearm discharge",W33,5,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,Discharge from other and unspecified firearms,W34,36,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,Intentional self-harm by handgun discharge,X72,356,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,273,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,Intentional self-harm by other and unspecified firearm discharge,X74,1024,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,Assault by handgun discharge,X93,78,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,"Assault by rifle, shotgun and larger firearm discharge",X94,64,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,Assault by other and unspecified firearm discharge,X95,865,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,"Other and unspecified firearm discharge, undetermined intent",Y24,24,Not Applicable,Not Applicable,Not Applicable
,"May, 2010",2010-05,Legal intervention involving firearm discharge,Y35.0,29,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,Handgun discharge,W32,5,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,"Rifle, shotgun and larger firearm discharge",W33,3,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,Discharge from other and unspecified firearms,W34,35,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,Intentional self-harm by handgun discharge,X72,405,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,245,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,Intentional self-harm by other and unspecified firearm discharge,X74,1006,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,Assault by handgun discharge,X93,80,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,"Assault by rifle, shotgun and larger firearm discharge",X94,42,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,Assault by other and unspecified firearm discharge,X95,848,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,"Other and unspecified firearm discharge, undetermined intent",Y24,18,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2010",2010-06,Legal intervention involving firearm discharge,Y35.0,28,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,Handgun discharge,W32,9,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,"Rifle, shotgun and larger firearm discharge",W33,7,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,Discharge from other and unspecified firearms,W34,46,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,Intentional self-harm by handgun discharge,X72,454,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,261,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,Intentional self-harm by other and unspecified firearm discharge,X74,1059,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,Assault by handgun discharge,X93,90,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,"Assault by rifle, shotgun and larger firearm discharge",X94,50,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,Assault by other and unspecified firearm discharge,X95,911,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,"Handgun discharge, undetermined intent",Y22,5,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,"Other and unspecified firearm discharge, undetermined intent",Y24,14,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2010",2010-07,Legal intervention involving firearm discharge,Y35.0,26,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,Handgun discharge,W32,10,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,"Rifle, shotgun and larger firearm discharge",W33,7,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,Discharge from other and unspecified firearms,W34,27,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,Intentional self-harm by handgun discharge,X72,403,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,255,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,Intentional self-harm by other and unspecified firearm discharge,X74,1065,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,Assault by handgun discharge,X93,65,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,"Assault by rifle, shotgun and larger firearm discharge",X94,44,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,Assault by other and unspecified firearm discharge,X95,851,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,"Other and unspecified firearm discharge, undetermined intent",Y24,16,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2010",2010-08,Legal intervention involving firearm discharge,Y35.0,26,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,Handgun discharge,W32,3,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,"Rifle, shotgun and larger firearm discharge",W33,6,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,Discharge from other and unspecified firearms,W34,36,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,Intentional self-harm by handgun discharge,X72,376,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,227,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,Intentional self-harm by other and unspecified firearm discharge,X74,952,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,Assault by handgun discharge,X93,64,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,"Assault by rifle, shotgun and larger firearm discharge",X94,48,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,Assault by other and unspecified firearm discharge,X95,822,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,"Handgun discharge, undetermined intent",Y22,4,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,"Other and unspecified firearm discharge, undetermined intent",Y24,20,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2010",2010-09,Legal intervention involving firearm discharge,Y35.0,28,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,Handgun discharge,W32,7,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,"Rifle, shotgun and larger firearm discharge",W33,5,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,Discharge from other and unspecified firearms,W34,39,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,Intentional self-harm by handgun discharge,X72,403,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,241,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,Intentional self-harm by other and unspecified firearm discharge,X74,1011,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,Assault by handgun discharge,X93,92,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,"Assault by rifle, shotgun and larger firearm discharge",X94,57,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,Assault by other and unspecified firearm discharge,X95,811,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,5,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,"Other and unspecified firearm discharge, undetermined intent",Y24,18,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2010",2010-10,Legal intervention involving firearm discharge,Y35.0,34,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,Handgun discharge,W32,10,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,"Rifle, shotgun and larger firearm discharge",W33,12,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,Discharge from other and unspecified firearms,W34,46,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,Intentional self-harm by handgun discharge,X72,357,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,230,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,Intentional self-harm by other and unspecified firearm discharge,X74,939,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,Assault by handgun discharge,X93,64,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,"Assault by rifle, shotgun and larger firearm discharge",X94,51,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,Assault by other and unspecified firearm discharge,X95,769,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,"Handgun discharge, undetermined intent",Y22,4,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,"Other and unspecified firearm discharge, undetermined intent",Y24,13,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2010",2010-11,Legal intervention involving firearm discharge,Y35.0,22,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,Handgun discharge,W32,8,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,"Rifle, shotgun and larger firearm discharge",W33,11,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,Discharge from other and unspecified firearms,W34,35,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,Intentional self-harm by handgun discharge,X72,388,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,233,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,Intentional self-harm by other and unspecified firearm discharge,X74,956,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,Assault by handgun discharge,X93,77,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,"Assault by rifle, shotgun and larger firearm discharge",X94,38,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,Assault by other and unspecified firearm discharge,X95,791,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,3,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,"Other and unspecified firearm discharge, undetermined intent",Y24,13,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2010",2010-12,Legal intervention involving firearm discharge,Y35.0,27,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,Handgun discharge,W32,3,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,"Rifle, shotgun and larger firearm discharge",W33,6,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,Discharge from other and unspecified firearms,W34,30,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,Intentional self-harm by handgun discharge,X72,370,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,239,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,Intentional self-harm by other and unspecified firearm discharge,X74,979,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,Assault by handgun discharge,X93,88,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,"Assault by rifle, shotgun and larger firearm discharge",X94,48,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,Assault by other and unspecified firearm discharge,X95,717,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,"Handgun discharge, undetermined intent",Y22,4,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,5,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,"Other and unspecified firearm discharge, undetermined intent",Y24,18,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2011",2011-01,Legal intervention involving firearm discharge,Y35.0,44,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,Handgun discharge,W32,8,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,"Rifle, shotgun and larger firearm discharge",W33,8,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,Discharge from other and unspecified firearms,W34,35,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,Intentional self-harm by handgun discharge,X72,336,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,236,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,Intentional self-harm by other and unspecified firearm discharge,X74,822,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,Assault by handgun discharge,X93,45,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,"Assault by rifle, shotgun and larger firearm discharge",X94,34,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,Assault by other and unspecified firearm discharge,X95,581,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,"Handgun discharge, undetermined intent",Y22,1,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,"Other and unspecified firearm discharge, undetermined intent",Y24,19,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2011",2011-02,Legal intervention involving firearm discharge,Y35.0,32,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,Handgun discharge,W32,3,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,"Rifle, shotgun and larger firearm discharge",W33,6,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,Discharge from other and unspecified firearms,W34,28,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,Intentional self-harm by handgun discharge,X72,425,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,269,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,Intentional self-harm by other and unspecified firearm discharge,X74,1064,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,Assault by handgun discharge,X93,63,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,"Assault by rifle, shotgun and larger firearm discharge",X94,36,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,Assault by other and unspecified firearm discharge,X95,747,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,"Handgun discharge, undetermined intent",Y22,4,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,3,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,"Other and unspecified firearm discharge, undetermined intent",Y24,18,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2011",2011-03,Legal intervention involving firearm discharge,Y35.0,38,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,Handgun discharge,W32,4,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,"Rifle, shotgun and larger firearm discharge",W33,7,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,Discharge from other and unspecified firearms,W34,40,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,Intentional self-harm by handgun discharge,X72,413,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,258,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,Intentional self-harm by other and unspecified firearm discharge,X74,1113,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,Assault by handgun discharge,X93,60,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,"Assault by rifle, shotgun and larger firearm discharge",X94,48,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,Assault by other and unspecified firearm discharge,X95,847,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,"Handgun discharge, undetermined intent",Y22,1,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,"Other and unspecified firearm discharge, undetermined intent",Y24,21,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2011",2011-04,Legal intervention involving firearm discharge,Y35.0,42,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,Handgun discharge,W32,8,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,"Rifle, shotgun and larger firearm discharge",W33,9,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,Discharge from other and unspecified firearms,W34,43,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,Intentional self-harm by handgun discharge,X72,426,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,246,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,Intentional self-harm by other and unspecified firearm discharge,X74,1051,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,Assault by handgun discharge,X93,73,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,"Assault by rifle, shotgun and larger firearm discharge",X94,56,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,Assault by other and unspecified firearm discharge,X95,893,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,"Other and unspecified firearm discharge, undetermined intent",Y24,17,Not Applicable,Not Applicable,Not Applicable
,"May, 2011",2011-05,Legal intervention involving firearm discharge,Y35.0,32,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,Handgun discharge,W32,2,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,"Rifle, shotgun and larger firearm discharge",W33,4,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,Discharge from other and unspecified firearms,W34,27,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,Intentional self-harm by handgun discharge,X72,411,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,257,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,Intentional self-harm by other and unspecified firearm discharge,X74,1049,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,Assault by handgun discharge,X93,69,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,"Assault by rifle, shotgun and larger firearm discharge",X94,44,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,Assault by other and unspecified firearm discharge,X95,797,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,"Other and unspecified firearm discharge, undetermined intent",Y24,2,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2011",2011-06,Legal intervention involving firearm discharge,Y35.0,35,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,Handgun discharge,W32,8,Not Applicable,Not Applicable,Not Applicable
